intervention_code,sector,description,unit_rate_inr,unit,source,people_served_per_unit
PMGSY-ROAD-NEW,roads,New rural road construction (PMGSY),6200000,per km,MoRD PMGSY-III Standard Data Book Cl. 300 / IRC:SP:72,3000
PMGSY-ROAD-UPG,roads,Upgradation of existing rural road,4100000,per km,MoRD PMGSY-III Standard Data Book Cl. 400,4000
CULVERT-REPAIR,roads,Culvert / cross-drainage repair,850000,per unit,Maharashtra PWD State CSR 2024-25 Item 14.22,3000
JJM-HH-CONN,water,Household tap connection (FHTC),6900,per HH,JJM Operational Guidelines 2023 / WSSD CSR Item 6.4,4.5
JJM-OHT,water,Overhead storage tank (100 KL),1800000,per unit,Maharashtra WSSD CSR 2024-25 Item 18.05,2500
JJM-PIPE-MAIN,water,Distribution main pipeline,2400,per m,Maharashtra WSSD CSR 2024-25 Item 12.11,2
BORE-REPAIR,water,Handpump / borewell repair,55000,per unit,Maharashtra ZP Ground Water Survey SOR 2024,250
RDSS-FEEDER,power,11 kV feeder upgrade,3100000,per km,MoP Revamped Distribution Sector Scheme (RDSS) Norms,1200
RDSS-TRANSFORMER,power,Distribution transformer (100 kVA),420000,per unit,Maharashtra MSEDCL CSR 2024-25 Item 4.2,1500
SOLAR-STREET,power,Solar street lighting cluster (50 poles),680000,per cluster,MEDA / MNRE Benchmark Cost Circular 2024,1200
PHC-UPGRADE,health,PHC upgrade to 24x7 (IPHS norms),9500000,per unit,MoHFW IPHS 2022 Guidelines / NHM RoP Maharashtra,25000
PHC-EQUIP,health,PHC diagnostic equipment package,2200000,per unit,NHM Essential Diagnostic Package Norms 2024,25000
AMBULANCE,health,108 ambulance + crew (annual),1600000,per unit,Maharashtra Emergency Medical Services (MEMS 108) Rate,60000
SCHOOL-TOILET,education,School toilet block (separate G/B),480000,per unit,Samagra Shiksha PAB Approval Guidelines MoE 2024,200
SCHOOL-CLASSROOM,education,Additional classroom construction,1250000,per unit,Samagra Shiksha Schedule of Rates 2024,60
SCHOOL-DIGITAL,education,Smart classroom / ICT lab,750000,per unit,PM e-VIDYA / Samagra Shiksha ICT Lab Norms,400
SBM-IHHL,sanitation,Individual household latrine,12000,per unit,Swachh Bharat Mission (Grameen) 2.0 Gazetted Incentive,4.5
SLWM-PLANT,sanitation,Solid/liquid waste management plant,6800000,per unit,SBM-G 2.0 Solid Liquid Waste Management Guidelines,15000
DRAINAGE,sanitation,Village drainage network,3400000,per km,15th Finance Commission Untied Grant Norms MoPR,2500
BHARATNET,digital,BharatNet last-mile fibre to GP,2900000,per GP,BharatNet Phase-III DPR Norms / USOF DoT,4000
CSC-UPGRADE,digital,Common Service Centre upgrade,340000,per unit,MeitY Digital Seva CSC SPV Norms 2024,3000
TOWER-SITE,digital,Mobile tower site (gap-fill),4200000,per unit,DoT 4G Saturation Scheme / USOF Guidelines,8000
